Site_name,Site_location,Site_code,Mid_depth_cm,Sieve_size_mm,Condition,Species_code,Species_name,Abundance
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,4,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPX55,Corbula gibba,5
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MGN1,Nassarius nigellus,1
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2.8,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPX55,Corbula gibba,3
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,2,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPX55,Corbula gibba,7
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MXX3,#N/A,4
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1.4,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPX55,Corbula gibba,3
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPX27,Plectodon brazieri,1
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MGP11,Pyramidellid sp.11,1
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MXX3,#N/A,1
Oyster_Cove,DEntrecasteaux,IPHC10,12.5,1,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPX55,Corbula gibba,10
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPO5,Ostrea (Eostrea) angasi,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,4,Dead,MPO7,#N/A,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPX55,Corbula gibba,5
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPX15,Hiatella australis,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2.8,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPX55,Corbula gibba,12
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPX15,Hiatella australis,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPX8,Pratulum thetidis,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,2,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPX55,Corbula gibba,11
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPX15,Hiatella australis,4
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MGN1,Nassarius nigellus,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPX27,Plectodon brazieri,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPV4,Timoclea sp.4,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1.4,Dead,MPO7,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPX55,Corbula gibba,5
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPX15,Hiatella australis,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPO5,Ostrea (Eostrea) angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MGP11,Pyramidellid sp.11,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPX26,Theora lubrica,1
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPV4,Timoclea sp.4,2
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,22.5,1,Dead,MPO7,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,4,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,4,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,4,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,4,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,4,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,4,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2.8,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2.8,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2.8,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2.8,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2.8,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2.8,Dead,MXX3,#N/A,1
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,2,Dead,MXX3,#N/A,1
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1.4,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1.4,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1.4,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1.4,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1.4,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1.4,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,2.5,1,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,4,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,4,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,4,Dead,MGN1,Nassarius nigellus,1
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,4,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,4,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,4,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2.8,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2.8,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2.8,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2.8,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2.8,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2.8,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2,Dead,MPN1,Ennucula obliqua,2
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,2,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1.4,Dead,MPX55,Corbula gibba,1
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1.4,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1.4,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1.4,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1.4,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1.4,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,12.5,1,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,4,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,4,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,4,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,4,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,4,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,4,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2.8,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2.8,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2.8,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2.8,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2.8,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2.8,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,2,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1.4,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1.4,Dead,MPN1,Ennucula obliqua,1
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1.4,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1.4,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1.4,Dead,MPX26,Theora lubrica,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1.4,Dead,MXX3,#N/A,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1,Dead,MPX55,Corbula gibba,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1,Dead,MPN1,Ennucula obliqua,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1,Dead,MGN1,Nassarius nigellus,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1,Dead,MGP11,Pyramidellid sp.11,0
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1,Dead,MPX26,Theora lubrica,2
Ralphs_Bay_Entrance,Derwent,IPHC12,22.5,1,Dead,MXX3,#N/A,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPX14,Channelaxinus adelaideanus,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPX55,Corbula gibba,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPN1,Ennucula obliqua,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPX23,Fulvia tenuicostata,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPX15,Hiatella australis,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MGN1,Nassarius nigellus,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPV1,Placamen placidum,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPX8,Pratulum thetidis,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPV4,Timoclea sp.4,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPO7,#N/A,0
North_End_Ralphs_Bay,Derwent,IPHC13,2.5,4,Dead,MPV20,#N/A,0
