Site Code,Faunal mid-depth.x,Species name,Old_core_data_Dead_abundance,Site_code,Species_name,New_VV_grab_data_Live_abundance,New_core_data_Dead_abundance
IPHC-10,2.5,Dosinia crocea (check),0,IPHC10,Dosinia crocea (check),NA,NA
IPHC-10,2.5,Dosinia victoriae,0,IPHC10,Dosinia victoriae,NA,NA
IPHC-10,2.5,Electroma (Electroma) georgiana,1,IPHC10,Electroma (Electroma) georgiana,NA,NA
IPHC-10,2.5,Equichlamys bifrons,0,IPHC10,Equichlamys bifrons,NA,NA
IPHC-10,2.5,Fulvia tenuicostata,0,IPHC10,Fulvia tenuicostata,NA,NA
IPHC-10,2.5,Propefusus novaehollandiae,0,IPHC10,Propefusus novaehollandiae,NA,NA
IPHC-10,2.5,Gast EI,0,IPHC10,Gast EI,NA,NA
IPHC-10,2.5,Gast EJ,0,IPHC10,Gast EJ,NA,NA
IPHC-10,2.5,Gast_ E,0,IPHC10,Gast_ E,NA,NA
IPHC-10,2.5,Gast_ EC,0,IPHC10,Gast_ EC,NA,NA
IPHC-10,2.5,Gast_ ED,0,IPHC10,Gast_ ED,NA,NA
IPHC-10,2.5,Gast_ EF,0,IPHC10,Gast_ EF,NA,NA
IPHC-10,2.5,Gast_ EH,0,IPHC10,Gast_ EH,NA,NA
IPHC-10,2.5,Gastrochaena (Gastrochaena) tasmanica,0,IPHC10,Gastrochaena (Gastrochaena) tasmanica,NA,NA
IPHC-10,2.5,Gazameda gunnii,0,IPHC10,Gazameda gunnii,NA,NA
IPHC-10,2.5,Guraleus sp.1,0,IPHC10,Guraleus sp.1,NA,NA
IPHC-10,2.5,Hemitoma subemarginata,0,IPHC10,Hemitoma subemarginata,NA,NA
IPHC-10,2.5,Hiatella australis,0,IPHC10,Hiatella australis,NA,0
IPHC-10,2.5,Hydrococcus brazieri,0,IPHC10,Hydrococcus brazieri,NA,NA
IPHC-10,2.5,Isotriphora sp,0,IPHC10,Isotriphora sp,NA,NA
IPHC-10,2.5,Katelysia rhytiphora,0,IPHC10,Katelysia rhytiphora,NA,NA
IPHC-10,2.5,Katelysia scalarina,0,IPHC10,Katelysia scalarina,NA,NA
IPHC-10,2.5,Lasaea australis,0,IPHC10,Lasaea australis,NA,NA
IPHC-10,2.5,Laternula spp or Periploma (Offadesma) angasi,0,IPHC10,Laternula spp or Periploma (Offadesma) angasi,NA,NA
IPHC-10,2.5,Ennucula obliqua,0,IPHC10,Ennucula obliqua,4,NA
IPHC-10,2.5,Limpet A,0,IPHC10,Limpet A,NA,NA
IPHC-10,2.5,Limpet D,0,IPHC10,Limpet D,NA,NA
IPHC-10,2.5,Litozamia brazieri,0,IPHC10,Litozamia brazieri,NA,NA
IPHC-10,2.5,Mactra (Electomactra) antecedens,0,IPHC10,Mactra (Electomactra) antecedens,NA,NA
IPHC-10,2.5,Maoricolpus roseus,0,IPHC10,Maoricolpus roseus,18,NA
IPHC-10,2.5,Melliteryx acupuncta,0,IPHC10,Melliteryx acupuncta,NA,NA
IPHC-10,2.5,Mimachlamys asperrima,0,IPHC10,Mimachlamys asperrima,NA,NA
IPHC-10,2.5,Miralda suprasculpta,1,IPHC10,Miralda suprasculpta,NA,NA
IPHC-10,2.5,Mitrella tayloriana?,0,IPHC10,Mitrella tayloriana?,NA,NA
IPHC-10,2.5,Musculus impactus,0,IPHC10,Musculus impactus,NA,NA
IPHC-10,2.5,Myadora albida,0,IPHC10,Myadora albida,NA,NA
IPHC-10,2.5,Myrtea (Myrtea) mayi,0,IPHC10,Myrtea (Myrtea) mayi,NA,NA
IPHC-10,2.5,Mysella cf_ lactea,0,IPHC10,Mysella cf_ lactea,NA,NA
IPHC-10,2.5,Mysella donaciformis,0,IPHC10,Mysella donaciformis,NA,NA
IPHC-10,2.5,Nassarius nigellus,0,IPHC10,Nassarius nigellus,4,0
IPHC-10,2.5,Nassarius pauperatus,0,IPHC10,Nassarius pauperatus,NA,NA
IPHC-10,2.5,Pratulum thetidis,0,IPHC10,Pratulum thetidis,3,0
IPHC-10,2.5,Nozeba topaziaca,0,IPHC10,Nozeba topaziaca,NA,NA
IPHC-10,2.5,Ennucula obliqua,0,IPHC10,Ennucula obliqua,4,NA
IPHC-10,2.5,Odostomia occultidens,0,IPHC10,Odostomia occultidens,NA,NA
IPHC-10,2.5,Ostrea (Eostrea) angasi,0,IPHC10,Ostrea (Eostrea) angasi,NA,0
IPHC-10,2.5,Paphies (Atactodea) erycinaea,0,IPHC10,Paphies (Atactodea) erycinaea,NA,NA
IPHC-10,2.5,Parathyasira cf resupina,0,IPHC10,Parathyasira cf resupina,NA,NA
IPHC-10,2.5,Pecten fumatus,0,IPHC10,Pecten fumatus,NA,NA
IPHC-10,2.5,Penion mandarinus,0,IPHC10,Penion mandarinus,NA,NA
IPHC-10,2.5,Petricola (Velargilla) rubiginosa,0,IPHC10,Petricola (Velargilla) rubiginosa,NA,NA
IPHC-10,2.5,Phasianotrochus irisodontes,0,IPHC10,Phasianotrochus irisodontes,NA,NA
IPHC-10,2.5,Philine sp.3,0,IPHC10,Philine sp.3,NA,NA
IPHC-10,2.5,Philine sp or retusa sp?,0,IPHC10,Philine sp or retusa sp?,NA,NA
IPHC-10,2.5,Placamen placidum,0,IPHC10,Placamen placidum,2,NA
IPHC-10,2.5,Pyrgiscus fusca,0,IPHC10,Pyrgiscus fusca,NA,NA
IPHC-10,2.5,Retusa atkinsoni,0,IPHC10,Retusa atkinsoni,NA,NA
IPHC-10,2.5,Scissurella atkinsoni,0,IPHC10,Scissurella atkinsoni,NA,NA
IPHC-10,2.5,Seila crocea,0,IPHC10,Seila crocea,NA,NA
IPHC-10,2.5,Spisula (Notospisula) trigonella,0,IPHC10,Spisula (Notospisula) trigonella,NA,NA
IPHC-10,2.5,Syrnola bifasciata,0,IPHC10,Syrnola bifasciata,NA,NA
IPHC-10,2.5,Tahunanina subalata,0,IPHC10,Tahunanina subalata,NA,NA
IPHC-10,2.5,Tellina (Macomona) margaratina,0,IPHC10,Tellina (Macomona) margaratina,NA,NA
IPHC-10,2.5,Tellina deltoides,0,IPHC10,Tellina deltoides,NA,NA
IPHC-10,2.5,Theora lubrica,0,IPHC10,Theora lubrica,31,0
IPHC-10,2.5,Theora fragilis,0,IPHC10,Theora fragilis,NA,NA
IPHC-10,2.5,Thracia sp.38,0,IPHC10,Thracia sp.38,NA,NA
IPHC-10,2.5,Channelaxinus adelaideanus,0,IPHC10,Channelaxinus adelaideanus,1,NA
IPHC-10,2.5,Timoclea sp.4,0,IPHC10,Timoclea sp.4,NA,0
IPHC-10,2.5,Venericardia bimaculata,0,IPHC10,Venericardia bimaculata,NA,NA
IPHC-10,2.5,Irus cf. carditoides,0,IPHC10,Irus cf. carditoides,NA,NA
IPHC-10,2.5,Irus cf. carditoides,0,IPHC10,Irus cf. carditoides,NA,NA
IPHC-10,2.5,Volvulella rostrata (check),0,IPHC10,Volvulella rostrata (check),NA,NA
IPHC-10,2.5,Wallucina assimilis,0,IPHC10,Wallucina assimilis,NA,NA
IPHC-10,2.5,Zafra atkinsoni,0,IPHC10,Zafra atkinsoni,NA,NA
IPHC-10,2.5,Zalapais inscripta?,0,IPHC10,Zalapais inscripta?,NA,NA
IPHC-10,2.5,Mid-depth,0,IPHC10,Mid-depth,NA,NA
IPHC-10,2.5,MDS code old,0,IPHC10,MDS code old,NA,NA
IPHC-10,2.5,MDS code,0,IPHC10,MDS code,NA,NA
IPHC-10,2.5,?Eugaimardia sp_,0,IPHC10,?Eugaimardia sp_,NA,NA
IPHC-10,2.5,Agatha simplex,0,IPHC10,Agatha simplex,NA,NA
IPHC-10,2.5,Alaba monile,0,IPHC10,Alaba monile,NA,NA
IPHC-10,2.5,Alaba translucida,0,IPHC10,Alaba translucida,NA,NA
IPHC-10,2.5,Alvania (alvania) fasciata,0,IPHC10,Alvania (alvania) fasciata,NA,NA
IPHC-10,2.5,Amphithalamus obesus,0,IPHC10,Amphithalamus obesus,NA,NA
IPHC-10,2.5,Ascorbis victoriae,0,IPHC10,Ascorbis victoriae,NA,NA
IPHC-10,2.5,Asperdaphne sp,0,IPHC10,Asperdaphne sp,NA,NA
IPHC-10,2.5,Assiminea tasmanica,0,IPHC10,Assiminea tasmanica,NA,NA
IPHC-10,2.5,Austrocochlea brevis,0,IPHC10,Austrocochlea brevis,NA,NA
IPHC-10,2.5,Austrocochlea odontis,0,IPHC10,Austrocochlea odontis,NA,NA
IPHC-10,2.5,Austromitra analogica,0,IPHC10,Austromitra analogica,NA,NA
IPHC-10,2.5,Austrorissopsis consobrina,0,IPHC10,Austrorissopsis consobrina,NA,NA
IPHC-10,2.5,Bankivia fasciata,0,IPHC10,Bankivia fasciata,NA,NA
IPHC-10,2.5,Bassina disjecta,0,IPHC10,Bassina disjecta,NA,NA
IPHC-10,2.5,Belloliva brazieri,0,IPHC10,Belloliva brazieri,NA,NA
IPHC-10,2.5,Bembicium melanostomum (check),0,IPHC10,Bembicium melanostomum (check),NA,NA
IPHC-10,2.5,Cacozeliana granarium,0,IPHC10,Cacozeliana granarium,NA,NA
IPHC-10,2.5,Biv AK,0,IPHC10,Biv AK,NA,NA
IPHC-10,2.5,Biv AP,0,IPHC10,Biv AP,NA,NA
IPHC-10,2.5,Biv CP,0,IPHC10,Biv CP,NA,NA
IPHC-10,2.5,Biv CT,0,IPHC10,Biv CT,NA,NA
IPHC-10,2.5,Biv CV,0,IPHC10,Biv CV,NA,NA
IPHC-10,2.5,Biv D,0,IPHC10,Biv D,NA,NA
IPHC-10,2.5,Biv DB,0,IPHC10,Biv DB,NA,NA
IPHC-10,2.5,Biv DM,0,IPHC10,Biv DM,NA,NA
IPHC-10,2.5,Biv DO,0,IPHC10,Biv DO,NA,NA
IPHC-10,2.5,Biv DS,0,IPHC10,Biv DS,NA,NA
IPHC-10,2.5,Biv DT,0,IPHC10,Biv DT,NA,NA
IPHC-10,2.5,Biv EF,0,IPHC10,Biv EF,NA,NA
IPHC-10,2.5,Biv EG,0,IPHC10,Biv EG,NA,NA
IPHC-10,2.5,Biv EP,0,IPHC10,Biv EP,NA,NA
IPHC-10,2.5,Biv EY,0,IPHC10,Biv EY,NA,NA
IPHC-10,2.5,Biv FA,0,IPHC10,Biv FA,NA,NA
IPHC-10,2.5,Callista (Notocallista) diemenensis,0,IPHC10,Callista (Notocallista) diemenensis,NA,NA
IPHC-10,2.5,Cardita aviculina,0,IPHC10,Cardita aviculina,NA,NA
IPHC-10,2.5,cf Benthoxystus petterdi,0,IPHC10,cf Benthoxystus petterdi,NA,NA
IPHC-10,2.5,cf Mesoginella pygmaeoides,0,IPHC10,cf Mesoginella pygmaeoides,NA,NA
IPHC-10,2.5,cf Nuculana (Scaeoleda) comita,0,IPHC10,cf Nuculana (Scaeoleda) comita,NA,NA
IPHC-10,2.5,Chemnitzia mariae,0,IPHC10,Chemnitzia mariae,NA,NA
IPHC-10,2.5,Clanculus sp_,0,IPHC10,Clanculus sp_,NA,NA
IPHC-10,2.5,Clathrus minora,0,IPHC10,Clathrus minora,NA,NA
IPHC-10,2.5,Colpospira (Ctenocolpus) australis,0,IPHC10,Colpospira (Ctenocolpus) australis,NA,NA
IPHC-10,2.5,Corbula gibba,0,IPHC10,Corbula gibba,130,2
IPHC-10,2.5,Crassitoniella erratica erratica,0,IPHC10,Crassitoniella erratica erratica,NA,NA
IPHC-10,2.5,Cratis new species,0,IPHC10,Cratis new species,NA,NA
IPHC-10,2.5,Plectodon brazieri,0,IPHC10,Plectodon brazieri,0,0
IPHC-10,2.5,Anachis atkinsoni,0,IPHC10,Anachis atkinsoni,NA,NA
IPHC-10,2.5,Diala suturalis,0,IPHC10,Diala suturalis,NA,NA
IPHC-10,2.5,Diplodonta tasmanica,0,IPHC10,Diplodonta tasmanica,NA,NA
IPHC-10,2.5,Divalucina cumingi,0,IPHC10,Divalucina cumingi,NA,NA
IPHC-10,2.5,Dolicrossea labiata,0,IPHC10,Dolicrossea labiata,NA,NA
IPHC-10,2.5,Dosinia caerulea,0,IPHC10,Dosinia caerulea,NA,NA
IPHC-10,2.5,Dosinia crocea (check),0,IPHC10,Dosinia crocea (check),NA,NA
IPHC-10,2.5,Dosinia victoriae,0,IPHC10,Dosinia victoriae,NA,NA
IPHC-10,2.5,Electroma (Electroma) georgiana,0,IPHC10,Electroma (Electroma) georgiana,NA,NA
IPHC-10,2.5,Epicodakia tatei,0,IPHC10,Epicodakia tatei,NA,NA
IPHC-10,2.5,Equichlamys bifrons,0,IPHC10,Equichlamys bifrons,NA,NA
IPHC-10,2.5,Ethminolia mayi,0,IPHC10,Ethminolia mayi,NA,NA
IPHC-10,2.5,Etrema denseplicata,0,IPHC10,Etrema denseplicata,NA,NA
IPHC-10,2.5,Fossarina (Minopa) legrandi,0,IPHC10,Fossarina (Minopa) legrandi,NA,NA
IPHC-10,2.5,Fossarina (Minopa) tasmanica,0,IPHC10,Fossarina (Minopa) tasmanica,NA,NA
IPHC-10,2.5,Friginatica beddomei,0,IPHC10,Friginatica beddomei,NA,NA
IPHC-10,2.5,Fulvia tenuicostata,0,IPHC10,Fulvia tenuicostata,NA,NA
IPHC-10,2.5,Propefusus novaehollandiae,0,IPHC10,Propefusus novaehollandiae,NA,NA
IPHC-10,2.5,Gari livida,0,IPHC10,Gari livida,NA,NA
IPHC-10,2.5,Gast_ AU,0,IPHC10,Gast_ AU,NA,NA
IPHC-10,2.5,Gast_ DW,0,IPHC10,Gast_ DW,NA,NA
IPHC-10,2.5,Gastrochaena (Gastrochaena) tasmanica,0,IPHC10,Gastrochaena (Gastrochaena) tasmanica,NA,NA
IPHC-10,2.5,Gazameda gunnii,0,IPHC10,Gazameda gunnii,NA,NA
IPHC-10,2.5,Guraleus sp.1,0,IPHC10,Guraleus sp.1,NA,NA
IPHC-10,2.5,Hemitoma subemarginata,0,IPHC10,Hemitoma subemarginata,NA,NA
IPHC-10,2.5,Hiatella australis,0,IPHC10,Hiatella australis,NA,0
IPHC-10,2.5,Irus cf. carditoides,0,IPHC10,Irus cf. carditoides,NA,NA
IPHC-10,2.5,Katelysia rhytiphora,0,IPHC10,Katelysia rhytiphora,NA,NA
IPHC-10,2.5,Katelysia scalarina,0,IPHC10,Katelysia scalarina,NA,NA
IPHC-10,2.5,Kellia sp_,0,IPHC10,Kellia sp_,NA,NA
IPHC-10,2.5,Lasaea australis,0,IPHC10,Lasaea australis,NA,NA
IPHC-10,2.5,Laternula spp or Periploma (Offadesma) angasi,0,IPHC10,Laternula spp or Periploma (Offadesma) angasi,NA,NA
IPHC-10,2.5,Ennucula obliqua,0,IPHC10,Ennucula obliqua,4,NA
IPHC-10,2.5,Bedeva paivae,0,IPHC10,Bedeva paivae,NA,NA
IPHC-10,2.5,Limpets,0,IPHC10,Limpets,NA,NA
IPHC-10,2.5,Lironoba australis,0,IPHC10,Lironoba australis,NA,NA
IPHC-10,2.5,Litozamia brazieri,0,IPHC10,Litozamia brazieri,NA,NA
IPHC-10,2.5,Mactra (Electomactra) antecedens,0,IPHC10,Mactra (Electomactra) antecedens,NA,NA
IPHC-10,2.5,Maoricolpus roseus,0,IPHC10,Maoricolpus roseus,18,NA
IPHC-10,2.5,Melliteryx acupuncta,0,IPHC10,Melliteryx acupuncta,NA,NA
IPHC-10,2.5,Mimachlamys asperrima,0,IPHC10,Mimachlamys asperrima,NA,NA
IPHC-10,2.5,Mitrella tayloriana?,0,IPHC10,Mitrella tayloriana?,NA,NA
IPHC-10,2.5,Montacuta semiradiata,0,IPHC10,Montacuta semiradiata,NA,NA
IPHC-10,2.5,Musculus impactus,0,IPHC10,Musculus impactus,NA,NA
IPHC-10,2.5,Mytilus galloprovincialis,0,IPHC10,Mytilus galloprovincialis,NA,NA
IPHC-10,2.5,Myadora albida,0,IPHC10,Myadora albida,NA,NA
IPHC-10,2.5,Myrtea (Myrtea) mayi,0,IPHC10,Myrtea (Myrtea) mayi,NA,NA
IPHC-10,2.5,Myrtea botanica?,0,IPHC10,Myrtea botanica?,NA,NA
IPHC-10,2.5,Mysella cf_ lactea,0,IPHC10,Mysella cf_ lactea,NA,NA
IPHC-10,2.5,Mysella donaciformis,0,IPHC10,Mysella donaciformis,NA,NA
IPHC-10,2.5,Nassarius nigellus,0,IPHC10,Nassarius nigellus,4,0
IPHC-10,2.5,Nassarius pauperatus,0,IPHC10,Nassarius pauperatus,NA,NA
IPHC-10,2.5,Neilo australis,0,IPHC10,Neilo australis,NA,NA
IPHC-10,2.5,Pratulum thetidis,0,IPHC10,Pratulum thetidis,3,0
IPHC-10,2.5,Nozeba topaziaca,0,IPHC10,Nozeba topaziaca,NA,NA
IPHC-10,2.5,Ennucula obliqua,0,IPHC10,Ennucula obliqua,4,NA
IPHC-10,2.5,Nuculana (Propeleda) ensicula,0,IPHC10,Nuculana (Propeleda) ensicula,NA,NA
IPHC-10,2.5,Nuculana crassa,0,IPHC10,Nuculana crassa,NA,NA
IPHC-10,2.5,Operculum A,0,IPHC10,Operculum A,NA,NA
IPHC-10,2.5,Ostrea (Eostrea) angasi,0,IPHC10,Ostrea (Eostrea) angasi,NA,0
IPHC-10,2.5,Paphies (Atactodea) erycinaea,0,IPHC10,Paphies (Atactodea) erycinaea,NA,NA
IPHC-10,2.5,Parathyasira cf resupina,0,IPHC10,Parathyasira cf resupina,NA,NA
IPHC-10,2.5,Passmaditta cf jungermanniae,0,IPHC10,Passmaditta cf jungermanniae,NA,NA
IPHC-10,2.5,Pecten fumatus,0,IPHC10,Pecten fumatus,NA,NA
IPHC-10,2.5,Penion mandarinus,0,IPHC10,Penion mandarinus,NA,NA
IPHC-10,2.5,Petricola (Velargilla) rubiginosa,0,IPHC10,Petricola (Velargilla) rubiginosa,NA,NA
IPHC-10,2.5,Phasianella australis,0,IPHC10,Phasianella australis,NA,NA
IPHC-10,2.5,Phasianotrochus irisodontes,0,IPHC10,Phasianotrochus irisodontes,NA,NA
IPHC-10,2.5,Philine sp.3,0,IPHC10,Philine sp.3,NA,NA
IPHC-10,2.5,Philine sp or retusa sp?,0,IPHC10,Philine sp or retusa sp?,NA,NA
IPHC-10,2.5,Pisinna sp,0,IPHC10,Pisinna sp,NA,NA
IPHC-10,2.5,Placamen placidum,0,IPHC10,Placamen placidum,2,NA
IPHC-10,2.5,Plesiotrochus monachus,0,IPHC10,Plesiotrochus monachus,NA,NA
IPHC-10,2.5,Polinices (Glossaulax) didyma,0,IPHC10,Polinices (Glossaulax) didyma,NA,NA
IPHC-10,2.5,Pseudamycla miltostoma,0,IPHC10,Pseudamycla miltostoma,NA,NA
IPHC-10,2.5,Pseudamycla sp,0,IPHC10,Pseudamycla sp,NA,NA
IPHC-10,2.5,Pterynotis triformis,0,IPHC10,Pterynotis triformis,NA,NA
IPHC-10,2.5,Pyrgiscus fusca,0,IPHC10,Pyrgiscus fusca,NA,NA
IPHC-10,2.5,Radiocondyla adelaideana,0,IPHC10,Radiocondyla adelaideana,NA,NA
IPHC-10,2.5,Raeta pulchella,0,IPHC10,Raeta pulchella,NA,NA
IPHC-10,2.5,Retusa atkinsoni,0,IPHC10,Retusa atkinsoni,NA,NA
IPHC-10,2.5,Retusa atkinsoni,0,IPHC10,Retusa atkinsoni,NA,NA
IPHC-10,2.5,Salinator fragilis,0,IPHC10,Salinator fragilis,NA,NA
IPHC-10,2.5,Sassia (Cymatiella) verucosa,0,IPHC10,Sassia (Cymatiella) verucosa,NA,NA
IPHC-10,2.5,Scissurella atkinsoni,0,IPHC10,Scissurella atkinsoni,NA,NA
IPHC-10,2.5,Seila crocea,0,IPHC10,Seila crocea,NA,NA
IPHC-10,2.5,Sigapatella calytraeformis,0,IPHC10,Sigapatella calytraeformis,NA,NA
IPHC-10,2.5,Singuinella pygmaeoides,0,IPHC10,Singuinella pygmaeoides,NA,NA
IPHC-10,2.5,Sinum zonale,0,IPHC10,Sinum zonale,NA,NA
IPHC-10,2.5,Siphonochelus syringianus,0,IPHC10,Siphonochelus syringianus,NA,NA
IPHC-10,2.5,Solamen recens (check),0,IPHC10,Solamen recens (check),NA,NA
IPHC-10,2.5,Solen vaginoides,0,IPHC10,Solen vaginoides,NA,NA
IPHC-10,2.5,Spisula (Notospisula) trigonella,0,IPHC10,Spisula (Notospisula) trigonella,NA,NA
IPHC-10,2.5,Syrnola bifasciata,0,IPHC10,Syrnola bifasciata,NA,NA
IPHC-10,2.5,Tahunanina subalata,0,IPHC10,Tahunanina subalata,NA,NA
IPHC-10,2.5,Tatea rufilabris,0,IPHC10,Tatea rufilabris,NA,NA
IPHC-10,2.5,Tawera gallinula,0,IPHC10,Tawera gallinula,NA,NA
IPHC-10,2.5,Tellina margaratina,0,IPHC10,Tellina margaratina,NA,NA
IPHC-10,2.5,Tellina botanica,0,IPHC10,Tellina botanica,NA,NA
IPHC-10,2.5,Tellina deltoides,0,IPHC10,Tellina deltoides,NA,NA
IPHC-10,2.5,Theora lubrica,0,IPHC10,Theora lubrica,31,0
IPHC-10,2.5,Theora fragilis,0,IPHC10,Theora fragilis,NA,NA
IPHC-10,2.5,Thracia sp.38,0,IPHC10,Thracia sp.38,NA,NA
IPHC-10,2.5,Channelaxinus adelaideanus,0,IPHC10,Channelaxinus adelaideanus,1,NA
IPHC-10,2.5,Timoclea sp.4,0,IPHC10,Timoclea sp.4,NA,0
IPHC-10,2.5,Venericardia bimaculata,0,IPHC10,Venericardia bimaculata,NA,NA
IPHC-10,2.5,Irus cf. carditoides,0,IPHC10,Irus cf. carditoides,NA,NA
IPHC-10,2.5,Irus cf. carditoides,0,IPHC10,Irus cf. carditoides,NA,NA
IPHC-10,2.5,Volvulella rostrata (check),0,IPHC10,Volvulella rostrata (check),NA,NA
IPHC-10,2.5,Waimatea obscura,0,IPHC10,Waimatea obscura,NA,NA
IPHC-10,2.5,Wallucina assimilis,0,IPHC10,Wallucina assimilis,NA,NA
IPHC-10,2.5,Zafra atkinsoni,0,IPHC10,Zafra atkinsoni,NA,NA
IPHC-10,2.5,Zafra fulgida,0,IPHC10,Zafra fulgida,NA,NA
IPHC-10,2.5,Faunal mid-depth,0,IPHC10,Faunal mid-depth,NA,NA
IPHC-10,2.5,MDS code old,0,IPHC10,MDS code old,NA,NA
IPHC-10,2.5,MDS code,0,IPHC10,MDS code,NA,NA
IPHC-10,2.5,Bassina disjecta,0,IPHC10,Bassina disjecta,NA,NA
IPHC-10,2.5,Cacozeliana granarium,0,IPHC10,Cacozeliana granarium,NA,NA
IPHC-10,2.5,Biv APA,0,IPHC10,Biv APA,NA,NA
IPHC-10,2.5,Biv CV,0,IPHC10,Biv CV,NA,NA
IPHC-10,2.5,Biv FD,0,IPHC10,Biv FD,NA,NA
IPHC-10,2.5,Biv FE,0,IPHC10,Biv FE,NA,NA
IPHC-10,2.5,Biv FF,0,IPHC10,Biv FF,NA,NA
IPHC-10,2.5,Biv FH,0,IPHC10,Biv FH,NA,NA
IPHC-10,2.5,Callista (Notocallista) diemenensis,0,IPHC10,Callista (Notocallista) diemenensis,NA,NA
IPHC-10,2.5,Cardita aviculina,0,IPHC10,Cardita aviculina,NA,NA
IPHC-10,2.5,Chemnitzia mariae,0,IPHC10,Chemnitzia mariae,NA,NA
IPHC-10,2.5,Clanculus philippi,0,IPHC10,Clanculus philippi,NA,NA
IPHC-10,2.5,Corbula gibba,0,IPHC10,Corbula gibba,130,2
IPHC-10,2.5,Plectodon brazieri,0,IPHC10,Plectodon brazieri,0,0
IPHC-10,2.5,Cystiscus angasi,0,IPHC10,Cystiscus angasi,NA,NA
IPHC-10,2.5,Diala suturalis,0,IPHC10,Diala suturalis,NA,NA
IPHC-10,2.5,Dolicrossea labiata,0,IPHC10,Dolicrossea labiata,NA,NA
IPHC-10,2.5,Dosinia caerulea,0,IPHC10,Dosinia caerulea,NA,NA
IPHC-10,2.5,Dosinia crocea (check),0,IPHC10,Dosinia crocea (check),NA,NA
IPHC-10,2.5,Dosinia victoriae,0,IPHC10,Dosinia victoriae,NA,NA
IPHC-10,2.5,Electroma (Electroma) georgiana,0,IPHC10,Electroma (Electroma) georgiana,NA,NA
IPHC-10,2.5,Equichlamys bifrons,0,IPHC10,Equichlamys bifrons,NA,NA
IPHC-10,2.5,Ethminolia mayi,0,IPHC10,Ethminolia mayi,NA,NA
IPHC-10,2.5,Fulvia tenuicostata,0,IPHC10,Fulvia tenuicostata,NA,NA
IPHC-10,2.5,Gast EJ,0,IPHC10,Gast EJ,NA,NA
IPHC-10,2.5,Gast EK,0,IPHC10,Gast EK,NA,NA
IPHC-10,2.5,Gazameda gunnii,0,IPHC10,Gazameda gunnii,NA,NA
IPHC-10,2.5,Guraleus sp.1,0,IPHC10,Guraleus sp.1,NA,NA
IPHC-10,2.5,Hemitoma subemarginata,0,IPHC10,Hemitoma subemarginata,NA,NA
IPHC-10,2.5,Hiatella australis,0,IPHC10,Hiatella australis,NA,0
IPHC-10,2.5,Katelysia scalarina,0,IPHC10,Katelysia scalarina,NA,NA
